,Address,Size,Rooms,Floor,Total floors,Price (eur),Price per m2 (eur/m2),Type,Date,Advertiser
318,Beograd Opština Palilula Karaburma Juhorska ,59,3.0,IV,4,79650,1350,Top,10.02.2021.,Agencija
319,Beograd Opština Vračar Kalenić pijaca Novopazarska ,115,4.0,II,6,315000,2739,Top,10.02.2021.,Agencija
320,Beograd Opština Savski venac Dedinje Krupanjska ,150,3.5,,,320000,2133,Top,10.02.2021.,Agencija
321,Beograd Opština Stari grad Centar Carice Milice ,57,2.0,IV,4,110000,1930,Top,10.02.2021.,Agencija
322,Beograd Opština Novi Beograd Blok 62 Jurija Gagarina ,118,3.0,XIII,14,145000,1229,Top,10.02.2021.,Agencija
323,Beograd Opština Zemun Zemun polje Kurirska ,40,1.5,II,2,46000,1150,Top,10.02.2021.,Agencija
324,Beograd Opština Voždovac Autokomanda Admirala Vukovica ,3041,0.5,IV,5,68200,2243,Top,10.02.2021.,Agencija
325,Beograd Opština Voždovac Lekino brdo Strumicka ,46,1.5,IV,4,105000,2283,Top,05.02.2021.,Agencija
326,Beograd Opština Savski venac Senjak Bulevar vojvode Mišića ,76,2.5,VI,8,119000,1566,Top,10.02.2021.,Agencija
327,Beograd Opština Novi Beograd Blok 61 Dušana Vukasovića ,96,3.5,XIII,17,160000,1667,Top,10.02.2021.,Agencija
328,Beograd Opština Vračar Krunska Kneginje Zorke ,35,1.0,II,4,115000,3286,Top,10.02.2021.,Agencija
329,Beograd Opština Vračar Kalenić pijaca Sinđelićeva ,63,3.5,I,1,93000,1476,Top,10.02.2021.,Agencija
330,Beograd Opština Zemun Prvomajska Dragana Rakica ,36,1.0,PR,2,48000,1333,Top,03.02.2021.,Vlasnik
331,Beograd Opština Novi Beograd Stari Merkator Bulevar Mihaila Pupina ,38,1.5,III,18,75500,1987,Top,10.02.2021.,Agencija
332,Beograd Opština Savski venac Beograd na vodi Metropolitan ,51,2.0,III,17,153888,3017,Top,10.02.2021.,Agencija
333,Beograd Opština Savski venac Beograd na vodi Arcadia ,30,1.0,XVI,23,105000,3500,Top,10.02.2021.,Agencija
334,Beograd Opština Savski venac Beograd na vodi Arcadia ,55,2.0,XVI,23,172000,3127,Top,10.02.2021.,Agencija
335,Beograd Opština Palilula Borča Kosovopoljska ,24,0.5,,,22000,917,Top,10.02.2021.,Agencija
336,Beograd Opština Palilula Borča ,35,2.0,II,3,26000,743,Top,10.02.2021.,Agencija
337,Beograd Opština Stari grad Terazije Terazije ,30,0.5,IV,7,78000,2600,Top,10.02.2021.,Agencija
338,Beograd Opština Stari grad Centar  MARSALA BIRJUZOVA ,80,2.0,III,5,200000,2500,Top,10.02.2021.,Agencija
339,Beograd Opština Vračar SC Vračar Mileševska ,76,2.0,V,6,190000,2500,Top,10.02.2021.,Agencija
340,Beograd Opština Stari grad Kalemegdan Kralja Petra ,95,3.0,III,5,239000,2516,Top,10.02.2021.,Agencija
341,Beograd Opština Vračar Kalenić pijaca Sinđelićeva ,43,1.5,VPR,5,89000,2070,Top,10.02.2021.,Agencija
342,Beograd Opština Čukarica Železnik Stevana Sremca ,22,0.5,PR,2,25000,1136,Top,10.02.2021.,Agencija
343,Beograd Opština Rakovica Skojevsko naselje Luke Vojvodića ,41,1.5,I,11,62000,1512,Top,10.02.2021.,Agencija
344,Beograd Opština Novi Beograd Blok 62 Jurija Gagarina ,75,2.5,VPR,6,122500,1633,Top,10.02.2021.,Agencija
